김규성,KIA,2023,0.234,99,177,158,29,37,6,1,2,51,11,5,0
변우혁,KIA,2023,0.225,83,226,200,23,45,4,0,7,70,24,0,0
황대인,KIA,2023,0.213,60,199,174,19,37,4,0,5,56,26,0,3
김호령,KIA,2023,0.179,76,107,95,16,17,7,0,0,24,6,3,0
오선우,KIA,2023,0.179,33,31,28,2,5,0,0,2,11,5,0,0
신범수,KIA,2023,0.17,36,100,88,7,15,3,0,2,24,10,2,1
최정용,KIA,2023,0.167,56,41,36,17,6,1,0,0,7,1,3,0
김선우,KIA,2023,0.143,5,7,7,0,1,0,0,0,1,0,0,0
김석환,KIA,2023,0.13,12,26,23,1,3,1,0,0,4,3,1,0
한승택,KIA,2023,0.129,49,104,85,6,11,2,0,0,13,3,6,0
주효상,KIA,2023,0.063,19,36,32,2,2,0,0,0,2,1,2,0
정보근,롯데,2023,0.333,55,101,81,11,27,6,1,1,38,13,4,1
배영빈,롯데,2023,0.313,18,18,16,2,5,2,0,0,7,0,1,0
전준우,롯데,2023,0.312,138,559,493,80,154,21,3,17,232,77,0,7
이정훈,롯데,2023,0.296,59,171,152,17,45,7,0,1,55,17,0,3
구드럼,롯데,2023,0.295,50,201,173,16,51,14,1,0,67,28,0,4
안치홍,롯데,2023,0.292,121,494,425,57,124,20,1,8,170,63,5,5
윤동희,롯데,2023,0.287,107,423,387,45,111,18,1,2,137,41,2,5
박승욱,롯데,2023,0.286,123,338,290,37,83,18,3,0,107,30,11,1
정훈,롯데,2023,0.279,80,233,201,40,56,14,0,6,88,31,4,2
안권수,롯데,2023,0.269,95,309,268,42,72,6,1,2,86,29,7,3
손성빈,롯데,2023,0.263,45,80,76,13,20,3,0,1,26,15,2,0
유강남,롯데,2023,0.261,121,403,352,45,92,13,0,10,135,55,2,4
노진혁,롯데,2023,0.257,113,390,334,43,86,26,1,4,126,51,4,4
김민석,롯데,2023,0.255,129,454,400,53,102,24,0,3,135,39,12,5
국해성,롯데,2023,0.25,6,10,8,0,2,0,0,0,2,1,0,0
윤수녕,롯데,2023,0.25,3,4,4,0,1,0,0,0,1,1,0,0
렉스,롯데,2023,0.246,55,234,203,20,50,4,2,4,70,30,0,2
고승민,롯데,2023,0.224,94,308,255,35,57,14,2,2,81,24,6,4
한동희,롯데,2023,0.223,108,353,319,30,71,11,0,5,97,32,2,5
황성빈,롯데,2023,0.212,74,191,170,22,36,5,2,0,45,8,8,0
김민수,롯데,2023,0.209,25,51,43,4,9,1,1,0,12,2,1,0
이학주,롯데,2023,0.209,104,122,110,22,23,2,0,3,34,13,0,0
장두성,롯데,2023,0.154,25,15,13,7,2,0,0,0,2,1,1,0
정대선,롯데,2023,0.15,19,47,40,5,6,1,0,0,7,6,1,2
지시완,롯데,2023,0.125,6,10,8,0,1,0,0,0,1,0,2,0
서동욱,롯데,2023,0.118,13,20,17,2,2,1,0,0,3,0,0,0
신윤후,롯데,2023,0.04,28,27,25,2,1,0,0,0,1,1,0,0
김동혁,롯데,2023,0,15,9,7,3,0,0,0,0,0,0,0,0
구자욱,삼성,2023,0.336,119,515,453,65,152,37,1,11,224,71,2,3
김성윤,삼성,2023,0.314,101,272,245,40,77,4,6,2,99,28,4,5
김지찬,삼성,2023,0.292,99,355,291,59,85,4,2,1,96,18,7,0
강민호,삼성,2023,0.29,125,495,434,60,126,19,0,16,193,77,1,5
피렐라,삼성,2023,0.285,139,605,557,66,159,28,1,16,237,80,0,2
김현준,삼성,2023,0.275,109,479,433,62,119,10,6,3,150,46,8,3
류지혁,삼성,2023,0.268,132,522,455,63,122,11,1,2,141,45,10,5
김동진,삼성,2023,0.262,44,137,122,14,32,7,0,0,39,8,3,2
김동엽,삼성,2023,0.255,69,182,165,20,42,7,0,5,64,18,0,2
송준석,삼성,2023,0.25,7,8,8,0,2,0,0,0,2,1,0,0
이해승,삼성,2023,0.25,9,4,4,0,1,1,0,0,2,0,0,0
이재현,삼성,2023,0.249,143,538,458,61,114,19,2,12,173,60,16,6
안주형,삼성,2023,0.241,53,91,79,12,19,2,0,1,24,10,1,1
이태훈,삼성,2023,0.231,12,14,13,1,3,1,0,0,4,0,0,0
강한울,삼성,2023,0.217,72,240,212,30,46,7,2,0,57,10,6,2
김호재,삼성,2023,0.216,75,127,116,6,25,7,0,0,32,9,5,0
강준서,삼성,2023,0.214,10,15,14,2,3,1,0,0,4,0,0,0
류승민,삼성,2023,0.212,24,57,52,5,11,3,0,0,14,5,2,0
이성규,삼성,2023,0.207,109,162,145,23,30,10,1,1,45,18,4,2
조민성,삼성,2023,0.207,15,29,29,1,6,2,0,0,8,5,0,0
오재일,삼성,2023,0.203,106,364,315,31,64,15,0,11,112,54,0,3
공민규,삼성,2023,0.194,22,33,31,0,6,1,1,0,9,2,0,0
김재성,삼성,2023,0.192,57,125,99,7,19,3,0,1,25,7,2,0
김영웅,삼성,2023,0.187,55,103,91,11,17,6,0,2,29,12,3,1
김재상,삼성,2023,0.15,17,22,20,1,3,0,0,1,6,2,0,0
윤정빈,삼성,2023,0.147,28,43,34,5,5,0,0,1,8,3,0,0
김도환,삼성,2023,0.143,9,8,7,0,1,0,0,0,1,0,0,0
이병헌,삼성,2023,0.143,23,33,28,3,4,0,0,0,4,2,1,1
김태훈,삼성,2023,0.095,11,22,21,0,2,1,0,0,3,1,1,0
김상민,삼성,2023,0.083,8,13,12,3,1,0,0,0,1,0,0,0
박수종,키움,2023,0.422,23,50,45,7,19,1,2,0,24,3,0,1
도슨,키움,2023,0.336,57,261,229,37,77,14,2,3,104,29,0,5
김혜성,키움,2023,0.335,137,621,556,104,186,29,6,7,248,57,0,5
송재선,키움,2023,0.333,5,3,3,0,1,0,0,0,1,0,0,0
이주형,키움,2023,0.326,69,243,215,32,70,13,4,6,109,36,2,2
이정후,키움,2023,0.318,86,387,330,50,105,23,2,6,150,45,0,5
러셀,키움,2023,0.286,59,239,220,20,63,11,1,4,88,42,0,1
김태진,키움,2023,0.275,74,212,200,17,55,5,0,0,60,16,3,3
송성문,키움,2023,0.263,104,438,388,43,102,16,3,5,139,60,4,7
임병욱,키움,2023,0.26,80,223,208,30,54,11,1,6,85,36,1,3
임지열,키움,2023,0.259,72,246,212,22,55,8,0,5,78,35,2,1
김휘집,키움,2023,0.249,110,435,369,46,92,22,0,8,138,51,6,7
이지영,키움,2023,0.249,81,237,217,23,54,8,1,0,64,8,7,0
이원석,키움,2023,0.246,89,345,305,22,75,10,0,2,91,30,1,2
김동헌,키움,2023,0.242,102,242,211,22,51,5,2,2,66,17,3,3
예진원,키움,2023,0.235,16,36,34,2,8,1,0,1,12,4,2,0
이병규,키움,2023,0.235,7,17,17,3,4,0,0,0,4,2,0,0
이용규,키움,2023,0.234,50,178,154,19,36,0,3,0,42,11,2,2
김시앙,키움,2023,0.224,33,82,76,6,17,1,0,0,18,7,0,0
김준완,키움,2023,0.222,76,225,189,25,42,7,0,0,49,14,6,3
주성원,키움,2023,0.217,25,72,69,7,15,2,1,0,19,2,1,1
김수환,키움,2023,0.216,50,114,97,8,21,4,0,2,31,15,1,1
이형종,키움,2023,0.215,99,374,316,35,68,22,1,3,101,37,3,2
박찬혁,키움,2023,0.201,48,167,154,13,31,7,0,1,41,8,0,0
김웅빈,키움,2023,0.188,29,74,64,2,12,3,0,0,15,9,0,2
김건희,키움,2023,0.182,9,13,11,0,2,0,0,0,2,0,0,0
김주형,키움,2023,0.147,46,81,68,5,10,2,0,0,12,4,3,0
전병우,키움,2023,0.145,41,75,62,6,9,3,0,1,15,6,2,0
김병휘,키움,2023,0.143,10,21,21,0,3,1,0,0,4,1,0,0
박준태,키움,2023,0.143,14,15,14,0,2,0,0,0,2,1,0,0
박주홍,키움,2023,0.122,27,57,49,5,6,0,1,0,8,2,1,2
김재현,키움,2023,0.111,8,10,9,0,1,0,0,0,1,0,1,0
신준우,키움,2023,0.111,24,19,18,4,2,0,0,0,2,0,0,0
