23,강매성,SSG,투수,8/6/03,187cm,94kg,상탄초(일산동구리틀)-개군중-공주고
28,강진성,SSG,외야수,19/10/93,176cm,89kg,가동초-잠신중-경기고-NC-경찰-NC-두산
12,고명준,SSG,내야수,8/7/02,185cm,94kg,서원초-세광중-세광고-SK
15,고효준,SSG,투수,8/2/83,179cm,81kg,서원초-세광중-세광고-롯데-SK-KIA-롯데-LG
0,김강민,SSG,외야수,13/9/82,182cm,87kg,본리초-대구중-경북고-SK
44,김건웅,SSG,내야수,8/5/00,186cm,118kg,광주대성초-광양진월중-화순고-연세대
3,김건이,SSG,포수,15/5/01,183cm,90kg,강남초-선린중-선린인터넷고-강릉영동대
29,김광현,SSG,투수,22/7/88,188cm,88kg,덕성초(안산리틀)-안산중앙중-안산공고-SK-세인트루이스
57,김규남,SSG,외야수,12/5/95,183cm,97kg,신남성초(용산구리틀)-홍은중-덕수고-고려대-상무
68,김도현,SSG,투수,24/5/03,179cm,89kg,삼송초-연세중-백송고
24,김민식,SSG,포수,28/6/89,180cm,80kg,양덕초-마산중-마산고-원광대-SK-상무-SK-KIA
93,김민준,SSG,내야수,20/3/04,181cm,78kg,순천북초-순천이수중-북일고
63,김성민,SSG,내야수,30/4/01,184cm,88kg,서울학동초-자양중-경기고-SK
6,김성현,SSG,내야수,9/3/87,172cm,72kg,송정동초-충장중-광주제일고-SK-상무-SK
,김재현,SSG,내야수,30/8/91,176cm,73kg,홍파초(도봉구리틀)-건대부중-배명고-한양대-삼성-경찰-삼성
65,김정민,SSG,외야수,7/3/04,180cm,75kg,광안초(부산수영구리틀)-경남중-경남고
11,김주온,SSG,투수,8/12/96,187cm,89kg,울산대현초-구미중-울산공고-SK
21,김주한,SSG,투수,3/2/93,184cm,93kg,동천초-경주중-성남고-고려대-SK-상무
5,김준영,SSG,투수,18/11/03,178cm,83kg,변동초(대전중구리틀)-충남중-세광고
5,김찬형,SSG,내야수,29/12/97,178cm,90kg,양정초-경남중-경남고-NC-SSG-상무
66,김창평,SSG,외야수,14/6/00,183cm,78kg,학강초-무등중-광주제일고-SK
4,김태윤,SSG,내야수,28/2/03,170cm,60kg,창우초(하남시리틀)-배명중-배명고
51,김태훈,SSG,투수,19/5/90,176cm,88kg,동구초(구리리틀)-구리인창중-구리인창고-SK-상무-SK
38,노경은,SSG,투수,11/3/84,187cm,100kg,화곡초-성남중-성남고-두산-롯데
,로메로,SSG,투수,24/1/91,190cm,105kg,도미니카 Liceo Ramon Emilio Jimenez(고)
6,류현곤,SSG,투수,10/11/04,178cm,78kg,부춘초(서산시리틀)-공주중-청담고
95,류효승,SSG,외야수,16/7/96,190cm,100kg,칠성초-경상중-대구상원고-성균관대-SK
33,맥카티,SSG,투수,12/10/95,173cm,83kg,미국 Oak Grove(고)-미국 Southern Mississippi(대)
42,문승원,SSG,투수,28/11/89,180cm,88kg,가동초-배명중-배명고-고려대-SK-상무-SK
41,박민호,SSG,투수,25/2/92,185cm,95kg,동막초-동인천중-인천고-인하대-SK-상무-SK
64,박상후,SSG,투수,5/8/03,187cm,87kg,칠성초(수성리틀)-대구중-경북고
2,박성한,SSG,내야수,30/3/98,180cm,77kg,순천북초-여수중-효천고-SK-상무-SK
0,박세직,SSG,외야수,30/7/04,182cm,77kg,서울이수초-선린중-야탑고
46,박시후,SSG,투수,10/5/01,182cm,88kg,상인천초-상인천중-인천고-SK
50,박종훈,SSG,투수,13/8/91,186cm,90kg,군산중앙초-군산중-군산상고-SK-상무-SK
59,백승건,SSG,투수,29/10/00,183cm,85kg,동막초-상인천중-인천고-SK-상무
18,서동민,SSG,투수,7/3/94,186cm,90kg,율하초(동구리틀)-경복중-대구고-SK
61,서상준,SSG,투수,14/1/00,193cm,108kg,동일중앙초-야로중-영문고
22,서진용,SSG,투수,2/10/92,184cm,88kg,남부민초-대동중-경남고-상무-SK
98,송영진,SSG,투수,28/5/04,185cm,90kg,대전유천초-한밭중-대전고
49,신헌민,SSG,투수,19/7/02,187cm,88kg,학강초-광주동성중-광주동성고
10,안상현,SSG,내야수,27/1/97,178cm,74kg,사파초-선린중-용마고-SK-상무
97,안현서,SSG,투수,16/10/04,185cm,83kg,영일초-서울신월중-경기고
94,양선률,SSG,투수,15/4/97,186cm,91kg,학강초-화순중-화순고-동아대-SK
27,에레디아,SSG,외야수,31/1/91,178cm,88kg,쿠바 Eide Luis Agusto Tursios Lima
